group,dataset_id,model_id,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_ordinal_mae_mean,test_ordinal_mae_std,test_within_one_accuracy_mean,test_within_one_accuracy_std,val_ordinal_mae_mean,val_ordinal_mae_std,complexity_units_mean,complexity_units_std
monotone_classification,mcs_bcc,M0_majority,0.6964285714285714,0.0,0.41052631578947374,0.0,0.5,0.0,0.30357142857142855,0.0,1.0,0.0,0.2909090909090909,0.0,0.0,0.0
monotone_classification,mcs_bcc,M1_linear_additive,0.8642857142857142,0.03702935955951379,0.8551137824022472,0.036843900078993,0.9025641025641026,0.026585181222215055,0.13571428571428573,0.03702935955951379,1.0,0.0,0.13454545454545455,0.0418576888480776,0.0,0.0
monotone_classification,mcs_bcc,M2_monotone_additive,0.8535714285714286,0.0293422798663482,0.8443537642871497,0.028973223040914514,0.8948717948717949,0.021066252211737187,0.14642857142857144,0.02934227986634819,1.0,0.0,0.13090909090909092,0.0470624694747083,0.1,0.0
monotone_classification,mcs_bcc,M3_nonmonotone_additive,0.8714285714285716,0.031943828249996975,0.8597664779730424,0.03511393629746432,0.897737556561086,0.039947060873418226,0.1285714285714286,0.031943828249996996,1.0,0.0,0.12727272727272726,0.03401506715249038,1.0,0.0
monotone_classification,mcs_bcc,M4_sparse_interaction,0.925,0.04955156044825575,0.9146387349483323,0.055611334465662854,0.9295625942684765,0.05435778997409006,0.075,0.04955156044825575,1.0,0.0,0.07636363636363637,0.034973425566675174,1.5714285714285714,0.0
monotone_classification,mcs_bcc,M5_full_flexible,0.9035714285714285,0.03243911093675887,0.8865074553906389,0.03848966957689375,0.890950226244344,0.045595080745632156,0.09642857142857143,0.032439110936758844,1.0,0.0,0.061818181818181814,0.04185768884807759,2.571428571428571,0.0
monotone_classification,mcs_bcc,M6_APSS,0.9142857142857143,0.04446392713567402,0.9046565831797059,0.04536276461776837,0.9285067873303168,0.03459393651320803,0.08571428571428572,0.04446392713567405,1.0,0.0,0.061818181818181814,0.03544288852657805,1.477142857142857,0.8832685125748128
monotone_classification,mcs_cev,M0_majority,0.6994219653179191,0.0,0.2743764172335601,0.0,0.3333333333333333,0.0,0.3786127167630058,0.0,0.921965317919075,0.0,0.3786127167630058,0.0,0.0,0.0
monotone_classification,mcs_cev,M1_linear_additive,0.8890173410404625,0.017532659986246313,0.8814776838155902,0.01331688207143274,0.9347107438016529,0.008040527893085972,0.11098265895953756,0.01753265998624635,1.0,0.0,0.12543352601156071,0.021100245373923677,0.0,0.0
monotone_classification,mcs_cev,M2_monotone_additive,0.8890173410404625,0.017532659986246313,0.8814776838155902,0.01331688207143274,0.9347107438016529,0.008040527893085972,0.11098265895953756,0.01753265998624635,1.0,0.0,0.12543352601156071,0.021100245373923677,0.1,0.0
monotone_classification,mcs_cev,M3_nonmonotone_additive,0.8676300578034682,0.020680397479766795,0.8420623824980972,0.02881649678381397,0.8963429387671813,0.024766746339084794,0.1323699421965318,0.02068039747976684,1.0,0.0,0.1300578034682081,0.02153130697362911,1.0,0.0
monotone_classification,mcs_cev,M4_sparse_interaction,0.9248554913294799,0.015564060136226899,0.8908737675543804,0.021043657345674666,0.9032897517746002,0.01485852615281722,0.07514450867052022,0.015564060136226885,1.0,0.0,0.09421965317919075,0.01811841389440171,1.6666666666666665,0.0
monotone_classification,mcs_cev,M5_full_flexible,0.9369942196531792,0.011810876729307836,0.8970395993009077,0.019151515814200815,0.9082294809567536,0.015078682434383164,0.0630057803468208,0.011810876729307833,1.0,0.0,0.07572254335260116,0.008276197146402523,2.6666666666666665,0.0
monotone_classification,mcs_cev,M6_APSS,0.9208092485549134,0.018573721402381057,0.8866279781977348,0.016609099465135713,0.9046482137391229,0.021785486231549706,0.07919075144508671,0.018573721402381067,1.0,0.0,0.08034682080924856,0.013617594207386988,1.7333333333333332,1.0903618155864083
