alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a3,polish_research_units_njn,NJN,0.8021985212327422,0.08590501325112829,0.051705409515533346,0.5552454780361757,Cl3,3
a10,polish_research_units_njn,NJN,0.3155794019498789,0.10345859992681386,0.0049967412557028025,0.4661498708010336,Cl2,2
a25,polish_research_units_njn,NJN,0.19904469017862986,0.03303356582872224,0.0,0.19018087855297156,Cl1,1
a27,polish_research_units_njn,NJN,0.26879539357455995,0.307758840553997,0.0,0.4208785529715762,Cl2,2
a28,polish_research_units_njn,NJN,0.5707649021788915,0.13566050498442023,0.0023897458179448186,0.4046511627906977,Cl2,2
a40,polish_research_units_njn,NJN,0.315513969770333,0.0702254355130238,0.01672822072561373,0.4483720930232558,Cl2,2
a72,polish_research_units_njn,NJN,0.34711771249100304,0.07651279094265977,0.009124484032152944,0.5269250645994832,Cl2,2
a89,polish_research_units_njn,NJN,0.16220637309428776,0.013173506614475335,0.0,0.08465116279069768,Cl1,1
a114,polish_research_units_njn,NJN,0.29038801282470716,0.014703762433328528,0.0,0.3335400516795866,Cl2,2
a127,polish_research_units_njn,NJN,0.31178433553621665,0.01959392776748983,0.0,0.18811369509043926,Cl1,1
a138,polish_research_units_njn,NJN,0.4493227769416999,0.003326643084463468,0.0,0.35658914728682173,Cl3,3
a148,polish_research_units_njn,NJN,0.21710397173329843,0.20730530821348178,1.0,0.42532299741602064,Cl2,2
a149,polish_research_units_njn,NJN,0.6439180789112084,0.3386855324292257,0.2587442971974799,0.8170542635658914,Cl3,3
a161,polish_research_units_njn,NJN,0.12386311588038997,0.046040740288974404,0.03964805561590267,0.205374677002584,Cl1,1
a166,polish_research_units_njn,NJN,0.19930641889681344,0.04039653585566805,0.5182489680643059,0.37457364341085275,Cl2,2
a191,polish_research_units_njn,NJN,0.2890139370542433,0.002594781605881505,0.14121225287855746,0.03441860465116279,Cl2,2
a197,polish_research_units_njn,NJN,0.5660537852515867,0.11513511715328063,0.020964588311970452,0.49860465116279074,Cl3,3
a201,polish_research_units_njn,NJN,0.4361709088529738,0.24762422239717902,0.20019552465783183,0.684031007751938,Cl2,2
a202,polish_research_units_njn,NJN,0.681148989072826,0.5294241580820794,0.12187703671518575,1.0,Cl4,4
a209,polish_research_units_njn,NJN,0.2243015114833475,0.07327485834044865,0.08038235933087118,0.47648578811369513,Cl2,2
a213,polish_research_units_njn,NJN,0.2935287574429104,0.017553586675685566,0.01553334781664132,0.3488372093023256,Cl2,2
a216,polish_research_units_njn,NJN,0.36020414840018317,0.453244031447866,0.029654573104497067,0.9462532299741602,Cl4,4
a219,polish_research_units_njn,NJN,0.6727736700909507,0.10464510262693917,0.014012600477949163,0.4001033591731266,Cl3,3
a227,polish_research_units_njn,NJN,0.2877707256428711,0.07168915847018774,0.05865739734955464,0.41023255813953485,Cl2,2
