dataset_id,group,seed,model_id,selected_by_apss,selected_base_model,complexity_units,val_accuracy,val_macro_f1,val_balanced_accuracy,val_ordinal_mae,val_within_one_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,test_ordinal_mae,test_within_one_accuracy,nonmonotone_criteria,selected_interactions
synthetic_monotone_additive,synthetic_structure_recovery,0,M0_majority,False,,0.0,0.25,0.1,0.25,1.5,0.5,0.25,0.1,0.25,1.5,0.5,,
synthetic_monotone_additive,synthetic_structure_recovery,0,M1_linear_additive,False,,0.0,0.7833333333333333,0.7867828979470202,0.7833333333333333,0.21666666666666667,1.0,0.8208333333333333,0.8241615556349737,0.8208333333333333,0.17916666666666667,1.0,,
synthetic_monotone_additive,synthetic_structure_recovery,0,M2_monotone_additive,False,,0.1,0.7833333333333333,0.7867828979470202,0.7833333333333333,0.21666666666666667,1.0,0.8208333333333333,0.8241615556349737,0.8208333333333333,0.17916666666666667,1.0,,
synthetic_monotone_additive,synthetic_structure_recovery,0,M3_nonmonotone_additive,False,,1.0,0.7791666666666667,0.7828182280900069,0.7791666666666667,0.22083333333333333,1.0,0.8125,0.8161480343980343,0.8125,0.1875,1.0,,
synthetic_monotone_additive,synthetic_structure_recovery,0,M4_sparse_interaction,False,,1.6666666666666665,0.7875,0.790676756392732,0.7875,0.2125,1.0,0.825,0.8280429587007364,0.825,0.175,1.0,,g3:g5;g4:g5;g3:g4;g2:g5
synthetic_monotone_additive,synthetic_structure_recovery,0,M5_full_flexible,False,,2.6666666666666665,0.7791666666666667,0.78259575473392,0.7791666666666667,0.22083333333333333,1.0,0.825,0.8278839431034087,0.825,0.175,1.0,,g3:g5;g4:g5;g3:g4;g2:g5
synthetic_monotone_additive,synthetic_structure_recovery,0,M6_APSS,True,M1_linear_additive,0.0,0.7833333333333333,0.7867828979470202,0.7833333333333333,0.21666666666666667,1.0,0.8208333333333333,0.8241615556349737,0.8208333333333333,0.17916666666666667,1.0,,
synthetic_monotone_additive,synthetic_structure_recovery,1,M0_majority,False,,0.0,0.25,0.1,0.25,1.5,0.5,0.25,0.1,0.25,1.5,0.5,,
synthetic_monotone_additive,synthetic_structure_recovery,1,M1_linear_additive,False,,0.0,0.7833333333333333,0.7884462858868835,0.7833333333333333,0.21666666666666667,1.0,0.8083333333333333,0.810535088848412,0.8083333333333333,0.19166666666666668,1.0,,
synthetic_monotone_additive,synthetic_structure_recovery,1,M2_monotone_additive,False,,0.1,0.7833333333333333,0.7884462858868835,0.7833333333333333,0.21666666666666667,1.0,0.8083333333333333,0.810535088848412,0.8083333333333333,0.19166666666666668,1.0,,
