group,dataset_id,model_id,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_ordinal_mae_mean,test_ordinal_mae_std,test_within_one_accuracy_mean,test_within_one_accuracy_std,val_ordinal_mae_mean,val_ordinal_mae_std,complexity_units_mean,complexity_units_std
synthetic_structure_recovery,synthetic_monotone_additive,M0_majority,0.25,0.0,0.1,0.0,0.25,0.0,1.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M1_linear_additive,0.8145833333333333,0.008838834764831813,0.8173483222416928,0.009635367068391087,0.8145833333333333,0.008838834764831813,0.18541666666666667,0.008838834764831853,1.0,0.0,0.21666666666666667,0.0,0.0,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M2_monotone_additive,0.8145833333333333,0.008838834764831813,0.8173483222416928,0.009635367068391087,0.8145833333333333,0.008838834764831813,0.18541666666666667,0.008838834764831853,1.0,0.0,0.21666666666666667,0.0,0.1,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M3_nonmonotone_additive,0.80625,0.008838834764831813,0.8089181397772586,0.010224615027229312,0.8062499999999999,0.008838834764831853,0.19375,0.008838834764831853,1.0,0.0,0.22083333333333333,0.0,1.0,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M4_sparse_interaction,0.825,0.0,0.8280201483059337,3.225876969302742e-05,0.825,1.1102230246251565e-16,0.175,0.0,1.0,0.0,0.22708333333333333,0.02062394778460764,1.6666666666666665,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M5_full_flexible,0.8270833333333334,0.0029462782549439766,0.8295592385487779,0.0023692255398229285,0.8270833333333334,0.0029462782549439766,0.17291666666666666,0.0029462782549439376,1.0,0.0,0.22291666666666665,0.002946278254943967,2.6666666666666665,0.0
synthetic_structure_recovery,synthetic_monotone_additive,M6_APSS,0.8145833333333333,0.008838834764831813,0.8173483222416928,0.009635367068391087,0.8145833333333333,0.008838834764831813,0.18541666666666667,0.008838834764831853,1.0,0.0,0.21666666666666667,0.0,0.0,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M0_majority,0.25,0.0,0.1,0.0,0.25,0.0,1.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M1_linear_additive,0.41041666666666665,0.008838834764831832,0.392285217261769,0.00040699364872981577,0.41041666666666665,0.008838834764831813,0.8375,0.005892556509887875,0.8,0.01178511301977579,0.7125,0.01178511301977575,0.0,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M2_monotone_additive,0.41041666666666665,0.008838834764831832,0.39156059675903887,0.0006177744938047648,0.41041666666666665,0.008838834764831813,0.8354166666666667,0.008838834764831813,0.8020833333333333,0.014731391274719806,0.7104166666666667,0.008838834764831813,0.1,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M3_nonmonotone_additive,0.8208333333333333,0.005892556509887875,0.8236695054810441,0.0061079591679059865,0.8208333333333333,0.005892556509887992,0.17916666666666664,0.005892556509887885,1.0,0.0,0.16041666666666665,0.008838834764831842,1.0,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M4_sparse_interaction,0.42291666666666666,0.02062394778460764,0.4066868653979868,0.014832804764629988,0.42291666666666666,0.02062394778460764,0.8333333333333333,0.011785113019775868,0.80625,0.0029462782549439376,0.73125,0.014731391274719806,1.6666666666666665,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M5_full_flexible,0.8166666666666667,0.01178511301977575,0.8194927570742803,0.012534545195374681,0.8166666666666667,0.011785113019775868,0.18333333333333335,0.011785113019775818,1.0,0.0,0.15833333333333333,0.01178511301977579,2.6666666666666665,0.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M6_APSS,0.8208333333333333,0.005892556509887875,0.8236695054810441,0.0061079591679059865,0.8208333333333333,0.005892556509887992,0.17916666666666664,0.005892556509887885,1.0,0.0,0.16041666666666665,0.008838834764831842,1.0,0.0
