group,dataset_id,model_id,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_ordinal_mae_mean,test_ordinal_mae_std,test_within_one_accuracy_mean,test_within_one_accuracy_std,val_ordinal_mae_mean,val_ordinal_mae_std,complexity_units_mean,complexity_units_std
education_evaluation,higher_education_students_performance,M0_majority,0.2413793103448276,,0.04861111111111111,,0.125,,2.413793103448276,,0.4482758620689655,,2.2758620689655173,,0.0,
education_evaluation,higher_education_students_performance,M1_linear_additive,0.3103448275862069,,0.19700854700854703,,0.22142857142857142,,1.793103448275862,,0.5517241379310345,,1.9310344827586208,,0.0,
education_evaluation,higher_education_students_performance,M2_monotone_additive,0.27586206896551724,,0.19764610389610388,,0.2232142857142857,,1.896551724137931,,0.4827586206896552,,1.9655172413793103,,0.1,
education_evaluation,higher_education_students_performance,M3_nonmonotone_additive,0.20689655172413793,,0.15029761904761904,,0.1607142857142857,,2.206896551724138,,0.4827586206896552,,2.103448275862069,,1.0,
education_evaluation,higher_education_students_performance,M4_sparse_interaction,0.27586206896551724,,0.24077380952380956,,0.24821428571428572,,2.2413793103448274,,0.41379310344827586,,2.1379310344827585,,1.0666666666666667,
education_evaluation,higher_education_students_performance,M5_full_flexible,0.13793103448275862,,0.08333333333333333,,0.11160714285714285,,2.7241379310344827,,0.20689655172413793,,2.3448275862068964,,2.066666666666667,
education_evaluation,higher_education_students_performance,M6_APSS,0.3103448275862069,,0.19700854700854703,,0.22142857142857142,,1.793103448275862,,0.5517241379310345,,1.9310344827586208,,0.0,
education_evaluation,student_performance_math_no_prior_grades,M0_majority,0.3291139240506329,,0.09904761904761904,,0.2,,1.4430379746835442,,0.5822784810126582,,1.4303797468354431,,0.0,
education_evaluation,student_performance_math_no_prior_grades,M1_linear_additive,0.35443037974683544,,0.3049808429118774,,0.3594871794871795,,1.1518987341772151,,0.6835443037974683,,1.3544303797468353,,0.0,
education_evaluation,student_performance_math_no_prior_grades,M2_monotone_additive,0.27848101265822783,,0.2357996440376303,,0.24230769230769234,,1.2278481012658229,,0.6962025316455697,,1.3291139240506329,,0.1,
education_evaluation,student_performance_math_no_prior_grades,M3_nonmonotone_additive,0.35443037974683544,,0.33730983958570165,,0.37012820512820516,,1.2531645569620253,,0.620253164556962,,1.2531645569620253,,1.0,
education_evaluation,student_performance_math_no_prior_grades,M4_sparse_interaction,0.3037974683544304,,0.2665807400147023,,0.3253846153846154,,1.2658227848101267,,0.5949367088607594,,1.139240506329114,,1.0952380952380953,
education_evaluation,student_performance_math_no_prior_grades,M5_full_flexible,0.31645569620253167,,0.2802332586327381,,0.3191025641025641,,1.2911392405063291,,0.620253164556962,,1.2025316455696202,,2.0952380952380953,
education_evaluation,student_performance_math_no_prior_grades,M6_APSS,0.3037974683544304,,0.2665807400147023,,0.3253846153846154,,1.2658227848101267,,0.5949367088607594,,1.139240506329114,,1.0952380952380953,
education_evaluation,student_performance_math_with_prior_grades,M0_majority,0.3291139240506329,,0.09904761904761904,,0.2,,1.4430379746835442,,0.5822784810126582,,1.4303797468354431,,0.0,
education_evaluation,student_performance_math_with_prior_grades,M1_linear_additive,0.7468354430379747,,0.7651178451178451,,0.7698717948717948,,0.25316455696202533,,1.0,,0.31645569620253167,,0.0,
education_evaluation,student_performance_math_with_prior_grades,M2_monotone_additive,0.7341772151898734,,0.7411274961597542,,0.7376923076923078,,0.26582278481012656,,1.0,,0.34177215189873417,,0.1,
education_evaluation,student_performance_math_with_prior_grades,M3_nonmonotone_additive,0.7848101265822784,,0.7779468145852027,,0.7801282051282052,,0.21518987341772153,,1.0,,0.24050632911392406,,1.0,
education_evaluation,student_performance_math_with_prior_grades,M4_sparse_interaction,0.759493670886076,,0.7622303622303622,,0.7579487179487179,,0.24050632911392406,,1.0,,0.31645569620253167,,1.0869565217391304,
