dataset_id,group,seed,model_id,selected_by_apss,selected_base_model,complexity_units,val_accuracy,val_macro_f1,val_balanced_accuracy,val_ordinal_mae,val_within_one_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,test_ordinal_mae,test_within_one_accuracy,nonmonotone_criteria,selected_interactions
higher_education_students_performance,education_evaluation,0,M0_majority,False,,0.0,0.2413793103448276,0.04861111111111111,0.125,2.2758620689655173,0.4827586206896552,0.2413793103448276,0.04861111111111111,0.125,2.413793103448276,0.4482758620689655,,
higher_education_students_performance,education_evaluation,0,M1_linear_additive,False,,0.0,0.13793103448275862,0.17994505494505494,0.16041666666666665,1.9310344827586208,0.5172413793103449,0.3103448275862069,0.19700854700854703,0.22142857142857142,1.793103448275862,0.5517241379310345,,
higher_education_students_performance,education_evaluation,0,M2_monotone_additive,False,,0.1,0.1724137931034483,0.1526723276723277,0.1782738095238095,1.9655172413793103,0.4482758620689655,0.27586206896551724,0.19764610389610388,0.2232142857142857,1.896551724137931,0.4827586206896552,,
higher_education_students_performance,education_evaluation,0,M3_nonmonotone_additive,False,,1.0,0.20689655172413793,0.16266788766788767,0.18571428571428572,2.103448275862069,0.3793103448275862,0.20689655172413793,0.15029761904761904,0.1607142857142857,2.206896551724138,0.4827586206896552,g4;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g23;g24;g25;g27;g28;g29,
higher_education_students_performance,education_evaluation,0,M4_sparse_interaction,False,,1.0666666666666667,0.13793103448275862,0.16785714285714284,0.1470238095238095,2.1379310344827585,0.41379310344827586,0.27586206896551724,0.24077380952380956,0.24821428571428572,2.2413793103448274,0.41379310344827586,,g14:g22;g10:g14
higher_education_students_performance,education_evaluation,0,M5_full_flexible,False,,2.066666666666667,0.1724137931034483,0.1893939393939394,0.17113095238095236,2.3448275862068964,0.3793103448275862,0.13793103448275862,0.08333333333333333,0.11160714285714285,2.7241379310344827,0.20689655172413793,g4;g9;g11;g12;g13;g14;g15;g23;g24;g25;g28;g29,g14:g22;g10:g28
higher_education_students_performance,education_evaluation,0,M6_APSS,True,M1_linear_additive,0.0,0.13793103448275862,0.17994505494505494,0.16041666666666665,1.9310344827586208,0.5172413793103449,0.3103448275862069,0.19700854700854703,0.22142857142857142,1.793103448275862,0.5517241379310345,,
student_performance_math_no_prior_grades,education_evaluation,0,M0_majority,False,,0.0,0.3291139240506329,0.09904761904761904,0.2,1.4303797468354431,0.5949367088607594,0.3291139240506329,0.09904761904761904,0.2,1.4430379746835442,0.5822784810126582,,
student_performance_math_no_prior_grades,education_evaluation,0,M1_linear_additive,False,,0.0,0.25316455696202533,0.198957938613111,0.24285714285714288,1.3544303797468353,0.6329113924050633,0.35443037974683544,0.3049808429118774,0.3594871794871795,1.1518987341772151,0.6835443037974683,,
student_performance_math_no_prior_grades,education_evaluation,0,M2_monotone_additive,False,,0.1,0.26582278481012656,0.23289776889776886,0.24368131868131865,1.3291139240506329,0.5949367088607594,0.27848101265822783,0.2357996440376303,0.24230769230769234,1.2278481012658229,0.6962025316455697,,
